,X,Domain.Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Production.in.tonnes,Flag,FlagD
1,1,QC,Crops,100,India,5419,Yield,15,Cereals,1994,23796,Fc,Calculated data
2,2,QC,Crops,100,India,5419,Yield,15,Cereals,1995,25590,Fc,Calculated data
3,3,QC,Crops,100,India,5419,Yield,15,Cereals,1996,24828,Fc,Calculated data
4,4,QC,Crops,100,India,5419,Yield,15,Cereals,1997,26789,Fc,Calculated data
5,5,QC,Crops,100,India,5419,Yield,15,Cereals,1998,24852,Fc,Calculated data
6,6,QC,Crops,100,India,5419,Yield,15,Cereals,1999,25901,Fc,Calculated data
7,7,QC,Crops,100,India,5419,Yield,15,Cereals,2000,27785,Fc,Calculated data
8,8,QC,Crops,100,India,5419,Yield,15,Cereals,2001,27081,Fc,Calculated data
9,9,QC,Crops,100,India,5419,Yield,15,Cereals,2002,27621,Fc,Calculated data
10,10,QC,Crops,100,India,5419,Yield,15,Cereals,2003,26100,Fc,Calculated data
11,11,QC,Crops,100,India,5419,Yield,15,Cereals,2004,27132,Fc,Calculated data
12,12,QC,Crops,100,India,5419,Yield,15,Cereals,2005,26016,Fc,Calculated data
13,13,QC,Crops,100,India,5419,Yield,15,Cereals,2006,26188,Fc,Calculated data
14,14,QC,Crops,100,India,5419,Yield,15,Cereals,2007,27079,Fc,Calculated data
15,15,QC,Crops,100,India,5419,Yield,15,Cereals,2008,28022,Fc,Calculated data
16,16,QC,Crops,100,India,5419,Yield,15,Cereals,2009,29071,Fc,Calculated data
17,17,QC,Crops,100,India,5419,Yield,15,Cereals,2010,28395,Fc,Calculated data
18,18,QC,Crops,100,India,5419,Yield,15,Cereals,2011,29886,Fc,Calculated data
19,19,QC,Crops,100,India,5419,Yield,15,Cereals,2012,31775,Fc,Calculated data
20,20,QC,Crops,100,India,5419,Yield,15,Cereals,2013,31538,Fc,Calculated data
21,21,QC,Crops,100,India,5419,Yield,15,Cereals,2014,30295,Fc,Calculated data
22,22,QC,Crops,100,India,5419,Yield,27,Cereals,1994,28645,Fc,Calculated data
23,23,QC,Crops,100,India,5419,Yield,27,Cereals,1995,26972,Fc,Calculated data
24,24,QC,Crops,100,India,5419,Yield,27,Cereals,1996,28226,Fc,Calculated data
25,25,QC,Crops,100,India,5419,Yield,27,Cereals,1997,28457,Fc,Calculated data
26,26,QC,Crops,100,India,5419,Yield,27,Cereals,1998,28805,Fc,Calculated data
27,27,QC,Crops,100,India,5419,Yield,27,Cereals,1999,29782,Fc,Calculated data
28,28,QC,Crops,100,India,5419,Yield,27,Cereals,2000,28508,Fc,Calculated data
29,29,QC,Crops,100,India,5419,Yield,27,Cereals,2001,31158,Fc,Calculated data
